Date,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month),Ticker
2008-03-18 22:55:36,-0.5727332139370627,-0.541733714109771,-0.0008146015118131425,0.4618872479662605,-0.03603788230524737,-0.5175245282341169,-0.04513603012324275,-0.5915748293361475,0.4352971835340182,-0.9075592872996272,-1.0943962409682952,0.043838590036976585,-0.09777860638504536,-0.4265165608377786,0.6532936568631109,0.3082421836967437,-0.5304080923369033,-0.5821893915499081,-0.5273670717549653,-0.27893436134732663,0.028611086867298605,-0.43984406677551097,-0.1889250867474002,-0.2894522656711949,-0.1420791367970575,-0.15884717315242455,-0.14408295012509575,-0.5752971436964275,-0.3359221604617719,0.8389573326624354,0.26001512974035834,0.3322751743714113,-0.4980911718755171,-0.5786580027097653,-0.5676072376606025,-0.3458202182265389,0.2561239362210683,-0.6030401480677405,-0.3622934701332531,-0.039134986762321716,-0.6277219857071912,AAPL
2008-06-13 22:59:26,-0.547290965381046,-0.5223076740272846,0.013908174729831382,0.8414683988190944,-0.009640371094254377,-0.4660808745160898,-0.024114379522961325,-0.5385284248189278,0.6483915568340312,-0.8949294526763387,-1.0761567900041824,0.1458257833503436,-0.09409415506714094,-0.41909770376517097,0.744962960203409,0.5054278119069192,-0.5304080923369033,-0.5775478473130459,-0.5224759862189352,-0.2099391024182484,-0.01075071502720436,-0.4404406909610298,-0.1931641820876768,-0.2895334497222871,-0.14208789659848878,-0.15113354147473546,-0.1117111345348839,-0.5770953676167819,-0.3392989151021564,0.9121198342899204,0.4633631216669142,0.3776124731227027,-0.5460888079135852,-0.5784130278301534,-0.5675848594811442,-0.3449885053680513,0.2407136594784603,-0.6130747640326367,0.21838480319476147,-0.08081228895861592,-0.5980043812566315,GNW
2008-01-24 12:11:22,-0.5679939715589811,-0.5358087718846126,0.02087284133516024,0.6274835574034742,-0.01808757468177214,-0.4660808745160898,-0.02263398159336405,-0.5517900259482328,0.7337165951958388,-0.9328189565462042,-1.1169784183524347,-0.016662287352308878,-0.10275759465248373,-0.4325037086507602,0.5810163422726576,0.014475839628522747,-0.5304080923369033,-0.5864428805139817,-0.5330250575480475,-0.3577860858377017,-0.02539696689492641,-0.4194265785001085,-0.07036288894903947,-0.2893698421689411,-0.14207037699562625,-0.0929846257506161,-0.1833193686154848,-0.5653982521325951,-0.3224850262983397,0.26828981996805346,0.4665558990562464,0.27341904988947274,-0.5047137226694347,-0.5789296052936829,-0.5678925594486945,-0.35496905966990183,0.12256820445179738,-0.6172558540180101,-0.15490837251610504,-0.10165094005676306,-0.5937590091922658,MPC
2013-05-13 13:08:13,-0.6007945174914926,-0.5627138373988562,-0.0522120778524045,-0.17791667485933835,-0.05926769217092121,-0.6375597202428462,-0.12122848370454307,-0.7175600400645444,-0.3162614663843074,-0.9044018286438051,-1.0613915201760915,-0.4764689555108788,-0.1344737499160662,-0.3976220648707804,0.904040502698058,-0.4000163992622546,-0.5116760786166776,-0.5651074000289041,-0.5144868066027265,-0.1387535178088821,-0.0818460626351051,-0.3664583404029711,0.1842477749263227,-0.2809037710088635,-0.10919776215785966,0.15325823165254238,0.3559104158864089,-0.5583092764737699,-0.30269138571146265,0.7804273313604475,-0.11863458530274967,-0.20311491253531536,-0.5730900459731137,-0.5736200410551371,-0.5620070982511887,-0.33583966392468834,0.2638290745923728,-0.6231093799975329,0.09395374462447252,-0.1641668933512045,-0.6268729112943181,CPB
2008-10-12 00:49:49,-0.6293546886646679,-0.5829169190846419,-0.07350279918388446,-0.701588120936761,-0.10889501324758803,-0.6958625277899434,-0.11264217571287885,-0.7672910442994378,-0.5399396360028567,-0.8917719940205167,-1.0718140635841558,0.23571280118585375,-0.0908080228106316,-0.4081646512371176,0.8825406890841,1.0165007666557422,-0.5304080923369033,-0.5726753177947618,-0.5173028399521802,-0.1387535178088821,-0.017768710713821183,-0.4267659123803425,-0.11646305077454736,-0.2894020678991456,-0.14208205673086793,-0.11849894591528065,-0.07829146089174674,-0.5660737322794478,-0.3245072131371433,1.4974198473097995,-0.020722745363234683,0.26134314051028706,-0.5031467412343045,-0.5780828442967633,-0.5673275104173751,-0.31754198103796244,0.1919144497935341,-0.6130747640326367,-0.5282015482269716,-0.08081228895861592,-0.569984925631818,VIAB
2012-07-27 18:21:42,-0.4375400892570532,-0.3569920729253264,0.01170416631042352,0.11241451701110153,0.07377576433248349,2.7611510020614656,-0.10820098192408703,3.960469758297769,0.75521152173967,2.4709214744300483,3.959668766658896,-0.8221882548782247,-0.15433991310314535,-0.5186665750028,-0.8298562305217414,0.9561378192444636,-0.5116760786166776,-0.4997293259752645,-0.4822937669851218,-0.5822944680672417,0.3804262619398718,-0.4447312467066508,-0.351600370430514,-0.13074033783870914,0.09998629602099954,6.264827945514061,0.0484500831486457,-0.5246514150387382,-0.7894629827553125,-0.4487026959812985,-0.24680179193164906,-0.2888848329977366,-0.4682277059968062,-0.4198716763943351,-0.4001121589608608,-0.4855479784524458,0.5386456765022191,-0.26729862224225515,0.5916779789056279,-0.08081228895861592,-0.24903479756577254,F
2006-10-28 13:06:34,-0.6301029900927861,-0.5547491609650368,-0.008616791316516976,-0.02737457537096213,0.6650800154587266,1.9552004271457104,-0.054906656458584814,3.320597503808806,0.5319697973301328,2.3772502009739918,3.5514524831763765,-0.5801847453210827,-0.1292458122352559,-0.5357963255172893,-0.842692883944193,0.2277582538150393,-0.5589279434569802,-0.5919327706935206,-0.5537389877514468,-0.6699074952787697,-0.16667227136899526,-0.4757461888163804,-0.3962433432328018,-0.2447698447162639,-0.13752695998660466,0.38229375685162464,-0.4456542071594211,-0.5699890719541914,-0.24844176305429524,-0.19995019044784995,-0.43776028721741134,-0.4916981828276497,-0.6025690463975935,-0.5701584394954029,-0.5576992987054856,-0.4040401183206668,-0.4450436555676057,-0.5691733191862158,1.545649427944509,0.002542315433972559,-0.5856928022699711,DNR
2013-05-12 08:05:40,-0.3895240809528063,-0.305804457307975,-0.007867428453918295,0.14467353833003935,0.2743968495360303,3.2687283854126643,-0.1055362656508119,4.587080411657427,1.0541764899127557,3.3781645948696064,3.7711944400297326,-0.8498457988276124,-0.1480165980034986,-0.5172348657431739,-0.8311209254402094,-0.061983893759096326,-0.5055521510542961,-0.4955295935857764,-0.4494100597403908,-0.4590886485510308,-0.09771283549180396,-0.4732654882555389,-0.3992901930086256,-0.11338802157473342,0.08962053099399019,13.171495078460481,0.10408920329155462,-0.4941682084115393,-0.3215304351582575,-0.8145152041187231,-0.125324214118493,-0.1905745451030842,-0.4839631115673347,-0.4012748877072717,-0.38009487743550346,-0.487211404169421,0.5823081272729425,-0.3789337248517254,0.6331549984290574,-0.2266828466456458,-0.357716322413534,HRL
2007-04-07 14:33:41,-0.5910665989259569,-0.4858838488726229,-0.06345252079138461,0.040369369398807226,0.2712291481907111,3.3578973851905776,-0.09991075351834222,6.6260515852880575,1.9719116531623253,5.893606657341232,3.199691643154205,-1.012333869530265,-0.1676836016598802,-0.5347825452060868,-0.8385615472105303,4.759003506154994,-0.5549074048967602,-0.5879043873855236,-0.5637666278918676,-0.2729109657265341,1.3119889067764423,-0.4720151466610067,-0.3870365580406386,-0.16213976726876048,-0.13663638017442498,2.9829743447987163,-0.19000328889239265,-0.5681123986050168,-0.5411503341669349,0.3560848219210351,-0.34851455733465464,-0.3772866824274163,-0.5526342349662153,-0.533864878526807,-0.5200368226773397,-0.4481208998205065,-0.3731290307687672,-0.6084755650487259,-0.19638539203953467,-0.3517147532345285,-0.6183821671655867,LLL
2011-12-30 08:30:41,-0.4715878042364282,-0.3783607170160613,-0.0445862087212533,-0.037052281766643436,0.044210551776171315,2.7920171942922813,-0.11412257364247615,4.255540383424803,0.8905095365333293,2.7266756255516404,3.6747859135051377,-0.8394742198465921,-0.15105378084663598,-0.5217903042965295,-0.8496697842444086,1.0245491596439122,-0.528606937171497,-0.5182081484890123,-0.4893773029578138,-0.3632619000384222,1.8578669190963324,-0.4735214562075398,-0.3992901930086256,-0.13177321380680296,0.09829273441095293,11.438894732394884,0.04592103223305892,-0.52710779910218,-0.9158496601805346,0.06343481541109555,-0.3276854857947267,-0.35793426355051616,-0.3995717190331316,-0.4261078847427175,-0.4069039364264237,-0.4614283055563071,0.3948164269045425,0.09227511649985867,1.960419623178805,0.4193153373969149,0.15172832531034758,VTR
